model,lower,rating,upper,error_y,error_y_minus,rating_rounded,ROC-AUC,Loss,Avg. Error,Average Precision,Pearson R,Spearman R,R^2,MSE,MAE
Llama3-70B-Drug,1014.7234150173135,1017.3316541869178,1019.7375641390432,2.4059099521253984,2.6082391696043032,1017.33,85.3919949237824,0.3433675925134426,0.4722815913379902,72.17899155152942,0.6558954152386626,0.6597849844888966,0.4130143976712172,1.0465811343951066,0.7412941476048304
MistralNeMo-12B-Frags-Generic,1015.5666136070779,1017.0244934507455,1019.1846980661243,2.1602046153788024,1.4578798436675697,1017.02,85.3759757053814,0.34451546923425413,0.4734772677338925,72.02176126683817,0.6529968759166652,0.6577360977210173,0.40813137983453995,1.0509011033857933,0.7420651435907522
Llama3.1-70B-Bio,1013.6525932455786,1016.0164203223867,1018.1993803481371,2.18296002575039,2.363827076808093,1016.02,85.23791154696283,0.3467986456431184,0.4725201599532768,72.07415302938578,0.6556675990089478,0.6609173246476175,0.4105469761083178,1.0470960850285065,0.7405738509889704
Gemma2-27B-Generic,1012.8504458987754,1015.4228374868628,1018.0554304709681,2.6325929841052584,2.5723915880873847,1015.42,85.25368965979835,0.3428265942625177,0.470811511382378,72.151762983918,0.6542452852354518,0.6614611197693456,0.41150171575438943,1.0428925938380555,0.7387602439669593
Llama3-70B-Chem,1010.5699228092566,1014.3682771927988,1016.5809129822071,2.2126357894082958,3.7983543835422324,1014.37,85.35469067054336,0.3443375419192742,0.47252222325144044,72.18116914387154,0.6547029774964878,0.6591227138611095,0.4092376872826858,1.053133043806164,0.7422051827873999
Gemma2-27B-Chem,1009.6335139201065,1012.7285853247618,1013.9700578018776,1.241472477115849,3.0950714046553003,1012.73,85.22300107593736,0.34532689915486736,0.4739738266976889,72.05657015678428,0.6528988720375809,0.658631076393971,0.40916107365952714,1.051189258292598,0.7430106329996954
MistralNeMo-12B-Frags-Chem,1008.8415441844412,1011.9563564478094,1014.08413104417,2.1277745963606094,3.114812263368208,1011.96,85.74564043815917,0.3425059882355902,0.47184550924236224,72.31988710269538,0.6563657162588412,0.6604399023799286,0.41066832854519014,1.0455856749407946,0.7411670826685408
GPT-4o-Frags-Generic,1009.7180727014814,1011.7825776812797,1014.8691871679936,3.0866094867138827,2.0645049797982438,1011.78,85.51016174569033,0.34335756376350995,0.47464401633582015,72.20975122130663,0.6542025931822073,0.658354358389601,0.4083045135011018,1.0538977795805253,0.7447823584530556
Llama3-8B-MolCap-0,1006.4044191470891,1008.6629593815344,1009.8751458820708,1.2121865005364043,2.258540234445263,1008.66,85.41440634460909,0.3437674103014229,0.4765372500311618,72.18191244647583,0.6517710227984311,0.6558206286737033,0.4059335689174913,1.0629855167982902,0.7475718664178274
MistralNeMo-12B-Frags-Drug,1006.0198138385931,1008.4061153798582,1011.1823204176877,2.776205037829527,2.386301541265084,1008.41,85.73096021780422,0.3441380869304376,0.4728367784817172,72.43582120152084,0.6542284323622541,0.6590279661375458,0.4101711895211546,1.0457863497573474,0.7415829167361222
Llama3-70B-Generic,1006.4508343011776,1008.2945619448562,1011.6914761613003,3.396914216444088,1.843727643678676,1008.29,85.10768760719365,0.34471502314895797,0.47525196721764834,71.92017750655062,0.6528750953866885,0.6562386201405308,0.4060257714447102,1.0614336044963588,0.7459332033961678
Gemma2-9B-Frags-Bio,1003.444427951665,1006.333748912954,1009.6664115410526,3.33266262809866,2.889320961288945,1006.33,85.28365861306156,0.34567216922660937,0.47664121785493513,72.02022655355226,0.6513682043258413,0.6570438883582826,0.40480429335011114,1.0647539342023926,0.7496710872605904
Llama3.1-70B-Quant,1003.1296376591089,1005.9987914746068,1008.6334220487055,2.634630574098651,2.8691538154979526,1006.0,85.31207257736835,0.34439389194755726,0.4738397541519827,72.16320262042152,0.6534398883559464,0.6598978581364457,0.40815349532067324,1.0522365592916312,0.7433608944792608
Llama3.1-405B-Frags-Generic,1002.8016288071318,1005.0473541709744,1007.4378837238276,2.390529552853195,2.2457253638425527,1005.05,85.48244100607266,0.34376605443883285,0.4758628910365817,72.68248120429702,0.6526138482771979,0.6573509933123454,0.40496939581884595,1.0646780372516618,0.7486607364652816
Gemma2-9B-Chem,1002.009085590044,1004.1866612303895,1005.31890747453,1.1322462441404468,2.1775756403454807,1004.19,85.45488331555745,0.3434028035551862,0.4742463252943262,72.11223622557182,0.6525687243288693,0.6568242004303708,0.40901786546461144,1.057462103766072,0.7451266550651995
Llama3-70B-Bio,1001.0099802319014,1003.2910477242493,1004.5063601456059,1.2153124213565434,2.2810674923479155,1003.29,85.47942755824063,0.34443842639773875,0.476086573547635,72.25324740285883,0.6508570334763132,0.6561932241563863,0.4032558592165457,1.065819081836164,0.748191022788633
Llama3-70B-Frags-Generic,1000.3269196431478,1003.0457562421066,1006.0449198808352,2.999163638728646,2.7188365989587737,1003.05,85.77999126833924,0.34210062843421735,0.4776281703967259,72.69319457835529,0.6498825995650269,0.6549510733007757,0.40256579281322136,1.0716075399970901,0.750675906634108
Llama3.1-8B-Drug,1000.9902193511655,1002.6921654957331,1006.7264885035959,4.034323007862781,1.7019461445676143,1002.69,85.08779188581994,0.34532359649438416,0.474901760274807,72.00388648393711,0.653855297903083,0.6573027983940176,0.40960694534449016,1.052403777926901,0.7454706986236102
Llama3.1-70B-Frags-Generic,999.2978922903443,1001.4471773038028,1004.4008123387093,2.9536350349064833,2.1492850134585524,1001.45,85.57998030314884,0.34194478051317845,0.476793875601888,72.23788110179467,0.6501803437592588,0.6558822088911324,0.4033812624912071,1.0705333553586247,0.7501840805142858
Llama3.1-70B-Frags-Chem,999.1644517462965,1001.28930945554,1004.0367945898572,2.7474851343172304,2.124857709243429,1001.29,85.51208492610513,0.34301095911107693,0.4767029767453287,72.30604744722221,0.6513819474495256,0.6567665902216077,0.4038335863870048,1.07022180204877,0.749093180969765
Gemma2-27B-Frags-Drug,997.1260769118371,1000.870368974787,1002.5746859680767,1.7043169932896944,3.744292062949853,1000.87,85.64388570594502,0.34234271709896774,0.47746418489386894,72.33321995731782,0.6488765754404263,0.6531640249334613,0.40234136391862924,1.0694765970546023,0.7516177675770932
MistralNeMo-12B-Bio,997.9344176398089,1000.2502203783679,1001.4028346262553,1.1526142478874135,2.3158027385590003,1000.25,85.30050684246226,0.34379066715038836,0.47597169017452706,72.14424274323481,0.6504183186490511,0.6552702403699129,0.40335100254115297,1.0658094584151023,0.7481398214254635
Llama3-8B-Drug,997.0138923755846,999.2381477920949,1001.9677873528104,2.7296395607155546,2.224255416510232,999.24,85.37529944076724,0.3439756159849593,0.47423524473931555,72.14796919400477,0.6542530580372704,0.6583097994938707,0.4083911624289985,1.0570347393553654,0.7447076505151874
MistralNeMo-12B-Generic,997.8395776093906,998.9858866466409,1000.4181802311941,1.4322935845532356,1.146309037250262,998.99,85.42069487850644,0.34311589894818284,0.4773758459677312,72.11250031994706,0.650250012094658,0.6544941210002713,0.40265320273436994,1.0691732733142219,0.7504943377818761
Gemma2-27B-Bio,996.5206827080651,997.92481916202,1000.1623986617808,2.237579499760841,1.404136453954834,997.92,85.34694250355834,0.34330088881919363,0.4757711724900381,72.17579800038405,0.6515370526438086,0.6567981783509661,0.4050555690082599,1.0613156741954473,0.7466779195904018
Gemma2-9B-Bio,995.2594274102443,996.7705105452114,999.5089262882082,2.7384157429967217,1.5110831349671798,996.77,85.39219793863172,0.3436290654363463,0.47509577054818053,72.13909136508705,0.6510890872002553,0.6562644853328689,0.4060796709957718,1.0572420354315095,0.7459825732891717
Gemma2-9B-Frags-Quant,994.784443844999,996.6513341081304,1001.680300010896,5.028965902765549,1.8668902631313813,996.65,85.30544422872927,0.34587872776987355,0.47474244443102076,72.03489236135752,0.6519469866113404,0.6560221140064368,0.4059568345260753,1.0602639176466655,0.7459412959655138
Gemma2-27B-Quant,992.3286215719896,996.6318706810237,999.4702063128549,2.838335631831228,4.303249109034027,996.63,85.34831070706413,0.34556352970211207,0.4757181182801776,72.12006821842549,0.6508312963166188,0.6558145671757482,0.40527908542605684,1.0610341761523432,0.7456232075096616
MistralNeMo-12B-Frags-Bio,993.0666121892458,996.2968893671938,998.2449219922447,1.948032625050928,3.2302771779479826,996.3,85.36379756795024,0.3447633851185091,0.4752292744171601,72.08201822200877,0.6524508375151423,0.6577548228257988,0.40594456669421425,1.0602916012202348,0.7458204983507588
ChemDFM,992.8201320869928,996.2030673930617,999.7546790397965,3.551611646734841,3.38293530606893,996.2,86.0516827779232,0.3436889048866087,0.47719271476614616,72.61357525763567,0.6477410124763189,0.652920797349164,0.40110410544431735,1.0732182118947686,0.7510138084953105
MistralNeMo-12B-Chem,991.6209840018224,996.1601512358795,997.0677847694833,0.9076335336037573,4.539167234057118,996.16,85.41777709902782,0.3458868191767993,0.4752407954826599,72.20105689552977,0.6507825150847121,0.6552853155441609,0.40551764790823946,1.062641828673318,0.7457885729757441
3D-MoLM,992.7363590312825,995.9665985293243,997.8744037709849,1.9078052416606397,3.230239498041783,995.97,86.03163907870275,0.3412275428492262,0.47473732557857856,73.16137218904983,0.6510183033356431,0.6545006337995459,0.4056952183360162,1.0619124505771198,0.7475586351595803
ChemLLM,993.082338870314,995.9510199638977,998.6337162939325,2.682696330034787,2.8686810935837457,995.95,85.81034124782094,0.34223359937449876,0.47499039075344396,72.8487786548467,0.6501935803461971,0.6538987872757257,0.404793170449846,1.0633510646657496,0.7470046533787013
Llama3-8B-Frags-Bio,994.7369257406662,995.8081940923987,997.5779469837864,1.769752891387725,1.0712683517325559,995.81,85.33810317373043,0.34399177411268184,0.47747950763413455,72.10166458926143,0.6518656889355623,0.6568534068788423,0.404652325071028,1.0711908858260266,0.7501621058579494
Llama3-8B-Quant,991.4360895578859,995.3802838125077,998.1106573683778,2.7303735558700737,3.9441942546218343,995.38,85.39654161452202,0.34352758924012955,0.4756129060940904,72.15419503789934,0.6499145633734104,0.6544233367706838,0.4046841736102004,1.0636393048547048,0.7466971323391776
